default_label,age,gender,edu,housing,income,job_occupation,past_bad_credit,married
0,45,0,2,0,8756.330191,0,1,1
0,33,1,1,1,4762.472193,1,1,0
0,21,0,3,0,10944.8383,0,1,0
0,64,0,2,1,3957.592804,2,1,1
0,33,0,3,1,17820.79101,1,1,0
0,26,1,2,1,3842.757314,1,1,1
0,59,1,3,0,9703.597088,0,1,1
0,32,1,3,0,9561.542624,1,1,1
0,50,0,2,1,1256.264878,0,1,1
0,51,0,2,1,1630.967365,0,1,0
0,28,1,4,1,8880.385599,0,1,0
0,64,1,1,0,17302.75152,0,1,0
0,38,0,3,1,1354.954872,0,1,1
0,33,1,0,0,4404.850491,0,1,1
0,22,1,2,0,14166.77895,1,1,1
0,25,1,2,0,4199.297665,1,1,1
0,58,0,1,1,3837.99583,0,1,0
0,65,1,2,1,8842.064034,0,1,1
0,35,1,2,1,11595.39994,1,1,1
0,28,0,3,0,5356.071988,1,1,1
0,29,0,0,1,1615.608027,1,1,0
0,63,0,1,1,2044.270863,0,1,0
0,53,1,1,1,12061.05742,1,1,1
0,60,0,2,1,2611.829224,0,1,0
0,53,0,2,1,14284.54156,0,1,1
0,60,1,3,1,21450.9145,0,1,1
0,18,1,0,0,2960.588819,1,1,0
0,46,1,3,1,28501.09295,1,1,0
0,38,0,0,0,4634.542149,0,1,0
0,45,1,3,1,3804.710093,0,1,1
0,53,0,2,1,8711.493395,0,1,0
0,28,0,3,1,2782.67533,0,1,0
0,22,0,1,0,6467.908912,1,1,0
0,33,1,3,1,9076.324313,0,1,1
1,39,1,1,0,1723.233921,0,1,1
0,57,1,2,1,12598.1708,0,0,0
0,17,1,0,0,1274.11307,1,1,0
0,38,0,2,1,22414.8547,0,1,0
0,27,1,1,0,2370.518189,1,1,0
0,42,0,2,1,11839.03228,1,1,1
0,28,0,1,0,11479.33795,1,1,0
0,32,0,1,0,1505.821819,0,1,1
0,19,0,2,0,1703.913497,0,1,0
0,34,1,4,1,5817.818629,1,1,0
0,32,1,2,1,6577.376055,0,1,1
0,59,0,1,1,3606.81675,0,1,1
0,24,0,3,1,19703.2986,0,1,1
0,32,1,3,1,12345.45432,1,1,1
0,42,1,4,1,13401.30575,2,1,1
0,42,0,2,1,2522.714689,0,1,1
0,24,0,2,1,5903.588389,0,1,1
0,29,1,2,1,7645.155155,0,1,1
0,42,1,3,1,2275.083108,1,1,1
0,37,0,0,1,1125.423088,1,1,1
0,28,1,2,0,15759.80359,0,1,0
0,19,1,0,0,1416.978027,0,1,0
0,25,0,0,0,746.8131304,0,1,1
0,50,0,1,1,2357.693446,0,1,1
0,17,0,0,0,1046.004117,0,1,0
0,61,1,0,1,5954.158678,0,1,0
