GVKEY,LPERMNO,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,curcdq,datacqtr,datafqtr,chq,dd1q,dlttq,drcq,dvintfq,epsfi12,esubq,lctq,lltq,oiadpq,capxy,costat
001177,46850,1982-03-31,1982,1,INDL,C,D,STD,USD,1982Q1,1982Q1,,,258.5990,,,,,,,67.2000,,I
001177,46850,1982-06-30,1982,2,INDL,C,D,STD,USD,1982Q2,1982Q2,,,408.5000,,,,,,,113.7000,,I
001177,46850,1982-09-30,1982,3,INDL,C,D,STD,USD,1982Q3,1982Q3,,,408.0990,,,,,,,133.6990,,I
001177,46850,1982-12-31,1982,4,INDL,C,D,STD,USD,1982Q4,1982Q4,,,413.5990,,,,,,,108.7990,,I
001177,46850,1983-03-31,1983,1,INDL,C,D,STD,USD,1983Q1,1983Q1,,,425.2000,,,,,,,159.8000,,I
001177,46850,1983-06-30,1983,2,INDL,C,D,STD,USD,1983Q2,1983Q2,,,424.9000,,,,,,,111.8990,,I
001177,46850,1983-09-30,1983,3,INDL,C,D,STD,USD,1983Q3,1983Q3,,,424.7000,,,,,,,88.6000,,I
001177,46850,1983-12-31,1983,4,INDL,C,D,STD,USD,1983Q4,1983Q4,,,421.0000,,,,,,,84.1000,,I
001177,46850,1984-03-31,1984,1,INDL,C,D,STD,USD,1984Q1,1984Q1,,,428.3990,,,,,,,43.3000,29.7000,I
001177,46850,1984-06-30,1984,2,INDL,C,D,STD,USD,1984Q2,1984Q2,,,429.5000,,,,,,,121.5000,57.8000,I
001177,46850,1984-09-30,1984,3,INDL,C,D,STD,USD,1984Q3,1984Q3,,,428.0990,,,,,,,73.5000,66.9000,I
001177,46850,1984-12-31,1984,4,INDL,C,D,STD,USD,1984Q4,1984Q4,,,420.8990,,,,,,,80.5000,66.2000,I
001177,46850,1985-03-31,1985,1,INDL,C,D,STD,USD,1985Q1,1985Q1,,,428.2000,,,,,,,58.0000,16.9000,I
001177,46850,1985-06-30,1985,2,INDL,C,D,STD,USD,1985Q2,1985Q2,,,408.9000,,,,,,,151.8750,25.5000,I
001177,46850,1985-09-30,1985,3,INDL,C,D,STD,USD,1985Q3,1985Q3,,,408.8000,,,,,,,165.5000,,I
001177,46850,1985-12-31,1985,4,INDL,C,D,STD,USD,1985Q4,1985Q4,,,408.6000,,,,,,,211.8320,,I
001177,46850,1986-03-31,1986,1,INDL,C,D,STD,USD,1986Q1,1986Q1,,,408.5000,,,,,,,171.3010,17.1000,I
001177,46850,1986-06-30,1986,2,INDL,C,D,STD,USD,1986Q2,1986Q2,,,246.3000,,,,,,,237.3010,37.0000,I
001177,46850,1986-09-30,1986,3,INDL,C,D,STD,USD,1986Q3,1986Q3,,,446.2000,,,,,,,304.8980,58.7000,I
001177,46850,1986-12-31,1986,4,INDL,C,D,STD,USD,1986Q4,1986Q4,,,446.5000,,,,,,,310.6010,105.0000,I
001177,46850,1987-03-31,1987,1,INDL,C,D,STD,USD,1987Q1,1987Q1,,,632.6000,,,,,,,236.0000,11.9000,I
001177,46850,1987-06-30,1987,2,INDL,C,D,STD,USD,1987Q2,1987Q2,,,707.5000,,,,,,,276.5000,32.3000,I
001177,46850,1987-09-30,1987,3,INDL,C,D,STD,USD,1987Q3,1987Q3,,,713.8000,,,,,,,272.5000,69.3000,I
001177,46850,1987-12-31,1987,4,INDL,C,D,STD,USD,1987Q4,1987Q4,,,727.5000,,,,,,,277.6990,98.0000,I
001177,46850,1988-03-31,1988,1,INDL,C,D,STD,USD,1988Q1,1988Q1,,,820.9000,,,,,,,162.1970,22.7000,I
001177,46850,1988-06-30,1988,2,INDL,C,D,STD,USD,1988Q2,1988Q2,,,810.9000,,,,,,,165.8010,43.7000,I
001177,46850,1988-09-30,1988,3,INDL,C,D,STD,USD,1988Q3,1988Q3,,,810.4000,,,,,,,310.1970,69.5000,I
001177,46850,1988-12-31,1988,4,INDL,C,D,STD,USD,1988Q4,1988Q4,,,1096.4000,,,,,,,274.1980,,I
001177,46850,1989-03-31,1989,1,INDL,C,D,STD,USD,1989Q1,1989Q1,,,1091.8000,,,,,,,192.1980,0.0000,I
001177,46850,1989-06-30,1989,2,INDL,C,D,STD,USD,1989Q2,1989Q2,,,1034.1000,,,,,,,196.0000,0.0000,I
