% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2023
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2023 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2023, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
196208	 -0.01753665	  0.00426023	-99
196209	 -0.00407476	  0.01175717	-99
196210	 -0.10421182	 -0.07412780	-99
196211	 -0.01974170	  0.02857193	-99
196212	 -0.00508932	  0.01303725	-99
196301	 -0.05579688	  0.00992806	-99
196302	  0.01440415	  0.02554344	-99
196303	 -0.02345353	 -0.02017934	-99
196304	  0.05413256	  0.07845333	-99
196305	  0.00354149	 -0.01295515	-99
196306	  0.00959259	  0.00034782	-99
196307	  0.01432622	  0.02073508	-99
196308	  0.03377117	  0.03894505	-99
196309	 -0.00754051	  0.02034092	-99
196310	  0.02680674	  0.03269365	-99
196311	 -0.05313628	 -0.05982390	-99
196312	 -0.02057456	  0.01384531	-99
196401	 -0.07136865	 -0.05522603	-99
196402	 -0.02474947	  0.01310928	-99
196403	  0.03138953	  0.04168926	-99
196404	 -0.04066632	 -0.02743579	-99
196405	 -0.02572531	 -0.00604819	-99
196406	 -0.05656731	 -0.01058522	-99
196407	  0.05819052	  0.05611900	-99
196408	 -0.04851473	 -0.04423397	-99
196409	 -0.00816173	  0.01321209	-99
196410	  0.01293438	  0.03819936	-99
196411	  0.01488576	 -0.00409924	-99
196412	 -0.02673007	 -0.01310561	-99
196501	  0.03792484	  0.07040682	-99
196502	 -0.01642848	  0.02177063	-99
196503	  0.03397015	  0.01750695	-99
196504	  0.02236123	  0.04106733	-99
196505	 -0.01294328	  0.03416844	-99
196506	 -0.16340986	 -0.11285885	-99
196507	 -0.08097770	 -0.04969833	-99
196508	 -0.03474854	  0.07147652	-99
196509	  0.02700284	  0.06113595	-99
196510	  0.00619570	 -0.02526034	-99
196511	  0.04447103	  0.06718164	-99
196512	  0.04087982	  0.02404056	-99
196601	  0.03997342	  0.02265434	-99
196602	  0.03502076	  0.04606175	-99
196603	 -0.06624631	 -0.06503657	-99
196604	  0.02544957	  0.05502647	-99
196605	 -0.12120717	 -0.07872599	-99
196606	 -0.05336572	 -0.01258475	-99
196607	 -0.03300131	  0.00690045	-99
196608	 -0.10666850	 -0.08649144	-99
