PERMNO,YYYYMM,MthPrc,MthRet
10324,200001,52.0,0.155556
10324,200002,57.4375,0.104567
10324,200003,50.125,-0.127312
10324,200004,48.8125,-0.026185
10324,200005,56.8125,0.163892
10324,200006,59.4375,0.046205
10324,200007,69.4375,0.168244
10324,200008,75.0625,0.081008
10324,200009,68.1875,-0.09159
10324,200010,71.0,0.041247
10324,200011,87.8125,0.236796
10324,200012,89.9375,0.024199
10324,200101,86.5625,-0.037526
10324,200102,87.9375,0.015884
10324,200103,90.33,0.027207
10324,200104,108.97,0.206354
10324,200105,106.94,-0.018629
10324,200106,61.0,0.140827
10324,200107,56.0,-0.081967
10324,200108,56.64,0.011429
10324,200109,45.42,-0.198093
10324,200110,53.95,0.187803
10324,200111,54.62,0.012419
10324,200112,59.86,0.095936
10324,200201,45.61,-0.238055
10324,200202,44.38,-0.026968
10324,200203,43.67,-0.015998
10324,200204,40.94,-0.062514
10324,200205,32.03,-0.217636
10324,200206,19.24,-0.399313
10324,200207,22.78,0.183992
10324,200208,20.68,-0.092186
10324,200209,20.61,-0.003385
10324,200210,27.85,0.351286
10324,200211,32.8,0.177738
10324,200212,29.57,-0.098476
10324,200301,32.29,0.091985
10324,200302,31.18,-0.034376
10324,200303,36.45,0.169019
10324,200304,40.27,0.104801
10324,200305,47.39,0.176807
10324,200306,41.86,-0.116691
10324,200307,50.48,0.205925
10324,200308,47.13,-0.066363
10324,200309,46.31,-0.017399
10324,200310,45.9,-0.008853
10324,200311,46.65,0.01634
10324,200312,49.29,0.056592
10324,200401,54.78,0.111382
10324,200402,50.45,-0.079043
10324,200403,46.78,-0.072745
10324,200404,43.5,-0.070115
10324,200405,43.85,0.008046
10324,200406,47.33,0.079361
10324,200407,51.35,0.084936
10324,200408,54.0,0.051607
10324,200409,54.41,0.007593
10324,200410,52.47,-0.035655
10324,200411,56.01,0.067467
10324,200412,58.07,0.036779
10324,200501,58.21,0.002411
10324,200502,56.09,-0.03642
10324,200503,57.24,0.020503
10324,200504,58.52,0.022362
10324,200505,62.39,0.066131
10324,200506,60.09,-0.036865
10324,200507,74.41,0.238309
10324,200508,71.17,-0.043543
10324,200509,71.64,0.006604
10324,200510,72.3,0.009213
10324,200511,74.32,0.027939
10324,200512,70.78,-0.047632
10324,200601,70.94,0.002261
10324,200602,69.34,-0.022554
10324,200603,67.22,-0.030574
10324,200604,61.16,-0.090152
10324,200605,59.5,-0.027142
10324,200606,61.05,0.02605
10324,200607,68.38,0.120066
10324,200608,66.23,-0.031442
10324,200609,67.47,0.018723
10324,200610,67.51,0.000593
10324,200611,64.46,-0.045178
10324,200612,61.58,-0.044679
10324,200701,65.73,0.067392
10324,200702,61.8,-0.05979
10324,200703,60.02,-0.028803
10324,200704,65.31,0.088137
10324,200705,64.4801,-0.012707
10324,200706,64.4,-0.001242
10324,200707,63.07,-0.020652
10324,200708,62.41,-0.010465
10324,200709,61.96,-0.00721
10324,200710,75.97,0.226114
10324,200711,74.93,-0.01369
10324,200712,74.44,-0.006539
10324,200801,78.13,0.04957
10324,200802,70.92,-0.092282
10324,200803,74.54,0.051043
10324,200804,70.35,-0.056211
10324,200805,68.46,-0.026866
10324,200806,71.88,0.049956
10324,200807,76.65,0.066361
10324,200808,78.3,0.021526
10324,200809,80.89,0.033078
10324,200810,72.88,-0.099023
10324,200811,64.02,-0.12157
10324,200812,66.37,0.036707
10324,200901,68.92,0.038421
10324,200902,60.93,-0.115932
